package	x86_selection	action	target	reason
kmod-usb-serial-sierrawireless	y	migrate	kmod-usb-serial-sierrawireless	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-serial-wwan	y	migrate	kmod-usb-serial-wwan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-storage	y	migrate	kmod-usb-storage	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-storage-extras	y	migrate	kmod-usb-storage-extras	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-storage-uas	y	migrate	kmod-usb-storage-uas	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-wdm	y	migrate	kmod-usb-wdm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-xhci-hcd	y	migrate	kmod-usb-xhci-hcd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb2	y	migrate	kmod-usb2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb3	y	migrate	kmod-usb3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usbip	y	migrate	kmod-usbip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usbip-client	y	migrate	kmod-usbip-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usbip-server	y	migrate	kmod-usbip-server	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usbmon	y	migrate	kmod-usbmon	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-veth	y	migrate	kmod-veth	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-vmxnet3	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-vxlan	y	migrate	kmod-vxlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-wireguard	y	migrate	kmod-wireguard	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-wwan	y	migrate-modem-driver	kmod-wwan	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-zram	y	migrate	kmod-zram	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libacl	y	migrate	libacl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libatomic	y	migrate	libatomic	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libattr	y	migrate	libattr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libavahi-client	y	migrate	libavahi-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libavahi-dbus-support	y	migrate	libavahi-dbus-support	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libblkid	y	migrate	libblkid	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libblobmsg-json	y	migrate	libblobmsg-json	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libbpf	y	migrate	libbpf	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libbz2	y	migrate	libbz2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libc	y	migrate	libc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcap	y	migrate	libcap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcap-ng	y	migrate	libcap-ng	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcares	y	migrate	libcares	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcbor	y	migrate	libcbor	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcomerr	y	migrate	libcomerr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcups	y	migrate	libcups	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcupsimage	y	migrate	libcupsimage	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libcurl	y	migrate	libcurl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libdaemon	y	migrate	libdaemon	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libdbus	y	migrate	libdbus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libdcwproto	y	migrate	libdcwproto	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libdcwsocket	y	migrate	libdcwsocket	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libdevmapper	y	migrate	libdevmapper	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libe2p	y	migrate	libe2p	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libedit	m	migrate	libedit	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libelf	y	migrate	libelf	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libev	y	migrate	libev	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libevdev	y	migrate	libevdev	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libevent2	y	migrate	libevent2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libevent2-core	y	migrate	libevent2-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libevent2-pthreads	y	migrate	libevent2-pthreads	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libexpat	y	migrate	libexpat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libext2fs	y	migrate	libext2fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libf2fs	y	migrate	libf2fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libfdisk	y	migrate	libfdisk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libffi	y	migrate	libffi	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libfido2	y	migrate	libfido2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libfreetype	y	migrate	libfreetype	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libfuse	y	migrate	libfuse	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libfuse3	y	migrate	libfuse3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgcc	y	migrate	libgcc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgcrypt	y	migrate	libgcrypt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgdbm	y	migrate	libgdbm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgmp	y	migrate	libgmp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgnutls	y	migrate	libgnutls	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libgpg-error	y	migrate	libgpg-error	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libhwloc	y	migrate	libhwloc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiconv-full	y	migrate	libiconv-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libinih	y	migrate	libinih	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libip4tc	m	migrate	libip4tc	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libip6tc	m	migrate	libip6tc	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libiperf3	y	migrate	libiperf3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libipset	y	migrate	libipset	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiptext	y	migrate	libiptext	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiptext-nft	y	migrate	libiptext-nft	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiptext6	y	migrate	libiptext6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiwinfo	y	migrate	libiwinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libiwinfo-data	y	migrate	libiwinfo-data	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libjpeg-turbo	y	migrate	libjpeg-turbo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libjson-c	y	migrate	libjson-c	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libjson-script	y	migrate	libjson-script	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libkeyutils	y	migrate	libkeyutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libkmod	y	migrate	libkmod	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libltdl	y	migrate	libltdl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblua	y	migrate	liblua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblua5.3	y	migrate	liblua5.3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblucihttp	y	migrate	liblucihttp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblucihttp-lua	y	migrate	liblucihttp-lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblucihttp-ucode	y	migrate	liblucihttp-ucode	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblz4	y	migrate	liblz4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblzma	y	migrate	liblzma	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liblzo	y	migrate	liblzo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libmbedtls	y	migrate	libmbedtls	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libmbim	y	migrate	libmbim	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libminiupnpc	y	migrate	libminiupnpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libmnl	y	migrate	libmnl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libmount	y	migrate	libmount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnatpmp	y	migrate	libnatpmp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libncurses	y	migrate	libncurses	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnetfilter-conntrack	y	migrate	libnetfilter-conntrack	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnetfilter-cthelper	y	migrate	libnetfilter-cthelper	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnetfilter-cttimeout	y	migrate	libnetfilter-cttimeout	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnetfilter-queue	y	migrate	libnetfilter-queue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnettle	y	migrate	libnettle	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnfnetlink	y	migrate	libnfnetlink	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnftnl	y	migrate	libnftnl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnghttp2	y	migrate	libnghttp2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnl-core	y	migrate	libnl-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnl-genl	y	migrate	libnl-genl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnl-tiny	y	migrate	libnl-tiny	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libnvme	y	migrate	libnvme	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libopenssl	y	migrate	libopenssl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libopenssl-conf	y	migrate	libopenssl-conf	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libopenssl-legacy	m	migrate	libopenssl-legacy	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libpam	y	migrate	libpam	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libparted	y	migrate	libparted	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpcap	y	migrate	libpcap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpci	y	migrate	libpci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpciaccess	y	migrate	libpciaccess	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpcre2	y	migrate	libpcre2	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpng	y	migrate	libpng	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpopt	y	migrate	libpopt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpthread	y	migrate	libpthread	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libpython3	y	migrate	libpython3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libqmi	y	migrate	libqmi	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libqrtr-glib	y	migrate	libqrtr-glib	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libreadline	y	migrate	libreadline	迁移功能；使用目标源码和依赖，服务默认状态单独适配
librrd1	y	migrate	librrd1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
librt	y	migrate	librt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libsensors	y	migrate	libsensors	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libsmartcols	y	migrate	libsmartcols	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libsodium	y	migrate	libsodium	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libsqlite3	y	migrate	libsqlite3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libss	y	migrate	libss	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libssh	y	migrate	libssh	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libstdcpp	y	migrate	libstdcpp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libsysfs	y	migrate	libsysfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libtasn1	y	migrate	libtasn1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libtirpc	y	migrate	libtirpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libubox	y	migrate	libubox	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libubus	y	migrate	libubus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libubus-lua	y	migrate	libubus-lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libuci	y	migrate	libuci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libuci-lua	y	migrate	libuci-lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libuclient	y	migrate	libuclient	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libucode	y	migrate	libucode	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libudebug	y	migrate	libudebug	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libudev-zero	y	migrate	libudev-zero	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liburcu	y	migrate	liburcu	迁移功能；使用目标源码和依赖，服务默认状态单独适配
liburing	y	migrate	liburing	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libusb-1.0	y	migrate	libusb-1.0	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libustream-mbedtls	y	replace	libustream-openssl	使用已选目标实现，避免互斥构建变体
libuuid	y	migrate	libuuid	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libuv	y	migrate	libuv	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libwebsockets-full	y	migrate	libwebsockets-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libwolfssl	m	migrate	libwolfssl	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libwrap	y	migrate	libwrap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libxml2	m	migrate	libxml2	迁移功能；使用目标源码和依赖，服务默认状态单独适配；通用运行组件编入固件（x86 原为仅编译）
libxtables	y	migrate	libxtables	迁移功能；使用目标源码和依赖，服务默认状态单独适配
libzstd	y	migrate	libzstd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
lm-sensors	y	migrate	lm-sensors	迁移功能；使用目标源码和依赖，服务默认状态单独适配
logd	y	migrate	logd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
losetup	y	migrate	losetup	迁移功能；使用目标源码和依赖，服务默认状态单独适配
lsblk	y	migrate	lsblk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
lscpu	y	migrate	lscpu	迁移功能；使用目标源码和依赖，服务默认状态单独适配
lua	y	migrate	lua	迁移功能；使用目标源码和依赖，服务默认状态单独适配
lua-cjson	y	migrate	lua-cjson	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci	y	migrate	luci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-acme	y	migrate	luci-app-acme	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-adguardhome	y	migrate	luci-app-adguardhome	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-advancedplus	y	migrate	luci-app-advancedplus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-arpbind	y	migrate	luci-app-arpbind	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-banip	y	migrate	luci-app-banip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-cifs-mount	y	migrate	luci-app-cifs-mount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-cloudflared	y	migrate	luci-app-cloudflared	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-cpulimit	y	migrate	luci-app-cpulimit	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-ddns-go	y	migrate	luci-app-ddns-go	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-diskman	y	migrate	luci-app-diskman	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-filemanager	y	migrate	luci-app-filemanager	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-firewall	y	migrate	luci-app-firewall	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-frpc	y	migrate	luci-app-frpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-modem	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
luci-app-natmap	y	migrate	luci-app-natmap	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-netdata	y	migrate	luci-app-netdata	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-nfs	y	migrate	luci-app-nfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-nikki	y	migrate	luci-app-nikki	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-nps	y	migrate	luci-app-nps	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-omcproxy	y	migrate	luci-app-omcproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-p910nd	y	migrate	luci-app-p910nd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-package-manager	y	migrate	luci-app-package-manager	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-passwall	y	migrate	luci-app-passwall	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-poweroffdevice	y	migrate	luci-app-poweroffdevice	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-qosmate	y	migrate	luci-app-qosmate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-samba4	y	migrate	luci-app-samba4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-smartdns	y	migrate	luci-app-smartdns	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-softether	y	migrate	luci-app-softether	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-softethervpn	y	migrate	luci-app-softethervpn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-statistics	y	migrate	luci-app-statistics	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-taskplan	y	migrate	luci-app-taskplan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-ttyd	y	migrate	luci-app-ttyd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-udpxy	y	migrate	luci-app-udpxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-uhttpd	y	migrate	luci-app-uhttpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-upnp	y	migrate	luci-app-upnp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-usb-printer	y	migrate	luci-app-usb-printer	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-vlmcsd	y	migrate	luci-app-vlmcsd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-vsftpd	y	migrate	luci-app-vsftpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-wol	y	migrate	luci-app-wol	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-app-zerotier	y	migrate	luci-app-zerotier	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-base	y	migrate	luci-base	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-compat	y	migrate	luci-compat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-acme-zh-cn	y	migrate	luci-i18n-acme-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-adguardhome-zh-cn	y	migrate	luci-i18n-adguardhome-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-advancedplus-zh-cn	y	migrate	luci-i18n-advancedplus-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-arpbind-zh-cn	y	migrate	luci-i18n-arpbind-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-banip-zh-cn	y	migrate	luci-i18n-banip-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-base-zh-cn	y	migrate	luci-i18n-base-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-cifs-mount-zh-cn	y	migrate	luci-i18n-cifs-mount-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-cloudflared-zh-cn	y	migrate	luci-i18n-cloudflared-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-cpulimit-zh-cn	y	migrate	luci-i18n-cpulimit-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-dashboard-zh-cn	y	migrate	luci-i18n-dashboard-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-ddns-go-zh-cn	y	migrate	luci-i18n-ddns-go-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-diskman-zh-cn	y	migrate	luci-i18n-diskman-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-filemanager-zh-cn	y	migrate	luci-i18n-filemanager-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-firewall-zh-cn	y	migrate	luci-i18n-firewall-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-frpc-zh-cn	y	migrate	luci-i18n-frpc-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-minieap-zh-cn	y	migrate	luci-i18n-minieap-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-modem-zh-cn	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
luci-i18n-natmap-zh-cn	y	migrate	luci-i18n-natmap-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-netdata-zh-cn	y	migrate	luci-i18n-netdata-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-nfs-zh-cn	y	migrate	luci-i18n-nfs-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-nikki-zh-cn	y	migrate	luci-i18n-nikki-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-nps-zh-cn	y	migrate	luci-i18n-nps-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-omcproxy-zh-cn	y	migrate	luci-i18n-omcproxy-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-p910nd-zh-cn	y	migrate	luci-i18n-p910nd-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-package-manager-zh-cn	y	migrate	luci-i18n-package-manager-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-passwall-zh-cn	y	migrate	luci-i18n-passwall-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-poweroffdevice-zh-cn	y	migrate	luci-i18n-poweroffdevice-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-qosmate-zh-cn	y	migrate	luci-i18n-qosmate-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-samba4-zh-cn	y	migrate	luci-i18n-samba4-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-smartdns-zh-cn	y	migrate	luci-i18n-smartdns-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-softethervpn-zh-cn	y	migrate	luci-i18n-softethervpn-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-statistics-zh-cn	y	migrate	luci-i18n-statistics-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-taskplan-zh-cn	y	migrate	luci-i18n-taskplan-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-ttyd-zh-cn	y	migrate	luci-i18n-ttyd-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-udpxy-zh-cn	y	migrate	luci-i18n-udpxy-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-uhttpd-zh-cn	y	migrate	luci-i18n-uhttpd-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-upnp-zh-cn	y	migrate	luci-i18n-upnp-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-usb-printer-zh-cn	y	migrate	luci-i18n-usb-printer-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-vlmcsd-zh-cn	y	migrate	luci-i18n-vlmcsd-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-vsftpd-zh-cn	y	migrate	luci-i18n-vsftpd-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-wol-zh-cn	y	migrate	luci-i18n-wol-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-i18n-zerotier-zh-cn	y	migrate	luci-i18n-zerotier-zh-cn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-base	y	migrate	luci-lib-base	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-ip	y	migrate	luci-lib-ip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-ipkg	y	migrate	luci-lib-ipkg	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-json	y	migrate	luci-lib-json	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-jsonc	y	migrate	luci-lib-jsonc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-nixio	y	migrate	luci-lib-nixio	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lib-uqr	y	migrate	luci-lib-uqr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-light	y	migrate	luci-light	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-lua-runtime	y	migrate	luci-lua-runtime	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-admin-full	y	migrate	luci-mod-admin-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-dashboard	y	migrate	luci-mod-dashboard	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-network	y	migrate	luci-mod-network	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-rpc	y	migrate	luci-mod-rpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-status	y	migrate	luci-mod-status	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-mod-system	y	migrate	luci-mod-system	迁移功能；使用目标源码和依赖，服务默认状态单独适配
luci-proto-3g	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
