package	x86_selection	r3_selection	triage	note	x86_version	r3_version	r3_makefile	depends	provides	conflicts	build_depends
libip4tc	m	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc 			
libip6tc	m	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc 			
libiperf3	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.17.1-r4	3.17.1-r4	package/feeds/packages/iperf3/Makefile	+libc +libatomic			
libipset	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	7.21-r1	7.21-r1	package/network/utils/ipset/Makefile	+libc +kmod-ipt-ipset +libmnl			
libiptext	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc +libxtables			
libiptext-nft	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc +libxtables			
libiptext6	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc +libxtables			
libiwinfo	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.10.20~b94f066e3f5839b8509483cdd8f4f582a45fa233-r1	2024.10.20~b94f066e3f5839b8509483cdd8f4f582a45fa233-r1	package/network/utils/iwinfo/Makefile	+libc +libnl-tiny +libuci +libubus +libiwinfo-data			
libiwinfo-data	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.10.20~b94f066e3f5839b8509483cdd8f4f582a45fa233-r1	2024.10.20~b94f066e3f5839b8509483cdd8f4f582a45fa233-r1	package/network/utils/iwinfo/Makefile	+libc 			
libjpeg-turbo	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.0.3-r1	3.0.3-r1	package/feeds/packages/libjpeg-turbo/Makefile	+libc 	libjpeg		
libjson-c	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	0.18-r1	0.18-r1	package/libs/libjson-c/Makefile	+libc 			
libjson-script	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.07.23~49056d178f42da98048a5d4c23f83a6f6bc6dd80-r1	2024.12.19~3868f47c8f6c6570e62a3cdf8a7f26ffb1a67e6a-r1	package/libs/libubox/Makefile	+libc +libubox			lua
libkeyutils	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.6.3-r2	1.6.3-r2	package/feeds/packages/keyutils/Makefile	+libc 			
libkmod	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	32-r1	32-r1	package/feeds/packages/kmod/Makefile	+libc +zlib			
libltdl	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.4.7-r1	2.4.7-r1	package/libs/libtool/Makefile	+libc 			
liblua	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	5.1.5-r11	5.1.5-r11	package/utils/lua/Makefile	+libc 			
liblua5.3	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	5.3.5-r6	5.3.5-r6	package/utils/lua5.3/Makefile	+libc 			
liblucihttp	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	package/feeds/luci/lucihttp/Makefile	+libc 			
liblucihttp-lua	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	package/feeds/luci/lucihttp/Makefile	+libc +liblucihttp +liblua			
liblucihttp-ucode	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	2023.03.15~9b5b683fbb2bb0010aa031d620d0ab8105516757-r1	package/feeds/luci/lucihttp/Makefile	+libc +liblucihttp +libucode			
liblz4	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.10.0-r1	1.10.0-r1	package/feeds/packages/liblz4/Makefile	+libc 			
liblzma	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	5.6.2-r2	5.6.2-r2	package/feeds/packages/xz/Makefile	+libc +libpthread			
liblzo	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.10-r4	2.10-r4	package/feeds/packages/lzo/Makefile	+libc 			
libmbedtls	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.6.5-r1	3.6.6-r2	package/libs/mbedtls/Makefile	+libc 			
libmbim	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.30.0-r2	1.30.0-r2	package/feeds/packages/libmbim/Makefile	+libc +glib2			
libminiupnpc	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.2.8-r1	2.2.8-r1	package/feeds/packages/miniupnpc/Makefile	+libc 			
libmnl	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.0.5-r1	1.0.5-r1	package/libs/libmnl/Makefile	+libc 			
libmount	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libblkid			
libnatpmp	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	20230423-r2	20230423-r2	package/feeds/packages/libnatpmp/Makefile	+libc 			
libncurses	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	6.4-r2	6.4-r2	package/libs/ncurses/Makefile	+libc +terminfo	libncursesw		ncurses/host
libnetfilter-conntrack	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.0.9-r2	1.0.9-r2	package/libs/libnetfilter-conntrack/Makefile	+libc +libnfnetlink +kmod-nf-conntrack-netlink +libmnl			
libnetfilter-cthelper	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.0.0-r2	1.0.0-r2	package/feeds/packages/libnetfilter-cthelper/Makefile	+libc +libmnl			
libnetfilter-cttimeout	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.0.0-r2	1.0.0-r2	package/feeds/packages/libnetfilter-cttimeout/Makefile	+libc +libmnl			
libnetfilter-queue	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.0.5-r4	1.0.5-r4	package/feeds/packages/libnetfilter-queue/Makefile	+libc +libmnl +libnfnetlink			
libnettle	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	3.9.1-r1	3.9.1-r1	package/libs/nettle/Makefile	+libc +!LIBNETTLE_MINI:libgmp			
libnfnetlink	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.0.2-r1	1.0.2-r1	package/libs/libnfnetlink/Makefile	+libc 			
libnftnl	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.2.8-r1	1.2.8-r1	package/libs/libnftnl/Makefile	+libc +libmnl			
libnghttp2	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.63.0-r1	1.63.0-r1	package/feeds/packages/nghttp2/Makefile	+libc 			
libnl-core	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.10.0-r1	3.10.0-r1	package/libs/libnl/Makefile	+libc +libpthread			
libnl-genl	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.10.0-r1	3.10.0-r1	package/libs/libnl/Makefile	+libc +libnl-core			
libnl-tiny	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.03.19~c0df580adbd4d555ecc1962dbe88e91d75b67a4e-r1	2025.03.19~c0df580adbd4d555ecc1962dbe88e91d75b67a4e-r1	package/libs/libnl-tiny/Makefile	+libc 			
libnvme	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.9-r1	1.9-r1	package/feeds/packages/libnvme/Makefile	+libc +libjson-c			
libopenssl	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	3.0.18-r1	3.0.20-r1	package/libs/openssl/Makefile	+libc +OPENSSL_WITH_COMPRESSION:zlib +OPENSSL_ENGINE_BUILTIN_AFALG:kmod-crypto-user +OPENSSL_ENGINE_BUILTIN_DEVCRYPTO:kmod-cryptodev +OPENSSL_ENGINE_BUILTIN_PADLOCK:kmod-crypto-hw-padlock +(arm||armeb||mips||mipsel||powerpc||arc):libatomic			
libopenssl-conf	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	3.0.18-r1	3.0.20-r1	package/libs/openssl/Makefile	+libc libopenssl			
libopenssl-legacy	m	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	3.0.18-r1	3.0.20-r1	package/libs/openssl/Makefile	+libc libopenssl +libopenssl-conf			
libpam	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.5.2-r1	1.5.2-r1	package/feeds/packages/libpam/Makefile	+libc 			
libparted	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.6-r1	3.6-r1	package/feeds/packages/parted/Makefile	+libc +libblkid +libuuid +PARTED_LVM2:libdevmapper			
libpcap	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.10.5-r2	1.10.5-r2	package/libs/libpcap/Makefile	+libc 			
libpci	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.14.0-r2	3.14.0-r2	package/feeds/packages/pciutils/Makefile	+libc 			
libpciaccess	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	0.18.1-r1	0.18.1-r1	package/feeds/packages/libpciaccess/Makefile	+libc 			
libpcre2	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	10.42-r1	10.42-r1	package/libs/pcre2/Makefile	+libc 			zlib
libpng	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.6.44-r2	1.6.44-r2	package/feeds/packages/libpng/Makefile	+libc +zlib			
libpopt	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.19-r1	1.19-r1	package/libs/popt/Makefile	+libc 			
libpthread	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LIBC_VERSION>-r4	<LIBC_VERSION>-r4	package/libs/toolchain/Makefile	+libgcc			
libpython3	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.11.14-r1	3.11.14-r1	package/feeds/packages/python3/Makefile	+libc +libpthread			bluez python3/host python-build/host python-installer/host python-wheel/host
libqmi	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.34.0-r2	1.34.0-r2	package/feeds/packages/libqmi/Makefile	+libc +glib2 +LIBQMI_WITH_MBIM_QMUX:libmbim +LIBQMI_WITH_QRTR_GLIB:libqrtr-glib			
libqrtr-glib	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.2.2-r3	1.2.2-r3	package/feeds/packages/libqrtr-glib/Makefile	+libc +glib2			
libreadline	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	8.2-r2	8.2-r2	package/libs/readline/Makefile	+libc +libncursesw			
librrd1	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.0.50-r6	1.0.50-r6	package/feeds/packages/rrdtool1/Makefile	+libc +zlib			
librt	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LIBC_VERSION>-r4	<LIBC_VERSION>-r4	package/libs/toolchain/Makefile	+libpthread			
libsensors	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3.6.0-r1	3.6.0-r1	package/feeds/packages/lm-sensors/Makefile	+libc +sysfsutils			
libsmartcols	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +librt			
libsodium	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.0.19-r1	1.0.19-r1	package/feeds/packages/libsodium/Makefile	+libc 			
libsqlite3	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	3530100-r1	3530100-r1	package/feeds/packages/sqlite3/Makefile	+libc +libpthread +zlib			
libss	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.47.0-r2	1.47.0-r2	package/utils/e2fsprogs/Makefile	+libc +libcomerr			util-linux
libssh	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	0.10.6-r2	0.10.6-r2	package/feeds/packages/libssh/Makefile	+libc +libpthread +librt +zlib +libopenssl			
libstdcpp	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	<LIBGCC_VERSION>-r4	<LIBGCC_VERSION>-r4	package/libs/toolchain/Makefile				
libsysfs	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.1.0-r4	2.1.0-r4	package/libs/sysfsutils/Makefile	+libc 			
libtasn1	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	4.19.0-r2	4.19.0-r2	package/feeds/packages/libtasn1/Makefile	+libc 			
libtirpc	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.3.6-r1	1.3.6-r1	package/feeds/packages/libtirpc/Makefile	+libc +libpthread			
libubox	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.07.23~49056d178f42da98048a5d4c23f83a6f6bc6dd80-r1	2024.12.19~3868f47c8f6c6570e62a3cdf8a7f26ffb1a67e6a-r1	package/libs/libubox/Makefile	+libc 			lua
libubus	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.10.17~60e04048a0e2f3e33651c19e62861b41be4c290f-r1	2025.10.17~60e04048a0e2f3e33651c19e62861b41be4c290f-r1	package/system/ubus/Makefile	+libc +libubox			
libubus-lua	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.10.17~60e04048a0e2f3e33651c19e62861b41be4c290f-r1	2025.10.17~60e04048a0e2f3e33651c19e62861b41be4c290f-r1	package/system/ubus/Makefile	+libc +libubus +liblua			
libuci	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.01.20~16ff0badbde7e17ec3bd1f827ffe45922956cf86-r1	2025.01.20~16ff0badbde7e17ec3bd1f827ffe45922956cf86-r1	package/system/uci/Makefile	+libc +libubox			
libuci-lua	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2025.01.20~16ff0badbde7e17ec3bd1f827ffe45922956cf86-r1	2025.01.20~16ff0badbde7e17ec3bd1f827ffe45922956cf86-r1	package/system/uci/Makefile	+libc +libuci +liblua			
libuclient	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.10.22~88ae8f208dd313f69e268234f7db55956aef1cb9-r1	2024.10.22~88ae8f208dd313f69e268234f7db55956aef1cb9-r1	package/libs/uclient/Makefile	+libc +libubox			ustream-ssl
libucode	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.07.18~3f64c8089bf3ea4847c96b91df09fbfcaec19e1d-r1	2025.05.11~d5b3a9dc1091dd28cf6f0f60cd34fc322ef27717-r1	package/utils/ucode/Makefile	+libc +libjson-c			libmd
libudebug	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2025.08.24~edeb4d6dc690acb476a47e6b11633b5632b08437	2023.12.06~6d3f51f9fda706f0cf4732c762e4dbe8c21e12cf	package/libs/udebug/Makefile	+libc +libubox +libubus			
libudev-zero	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.0.4-r1	1.0.4-r1	package/feeds/packages/libudev-zero/Makefile	+libc +libevdev	libudev	libudev eudev udev	
liburcu	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	0.15.2-r1	0.15.2-r1	package/feeds/packages/liburcu/Makefile	+libc +libpthread @!arc			
liburing	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.7-r1	2.7-r1	package/feeds/packages/liburing/Makefile	+libc @KERNEL_IO_URING			
libusb-1.0	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.0.27-r1	1.0.27-r1	package/libs/libusb/Makefile	+libc +libpthread +librt +libatomic			
libustream-mbedtls	y	n	tls-variant	目标已用 libustream-openssl，优先 luci-ssl-openssl	2024.07.28~99bd3d2b167ccdffb6de072d02c380cb37b23e33-r1	2024.07.28~99bd3d2b167ccdffb6de072d02c380cb37b23e33-r1	package/libs/ustream-ssl/Makefile	+libc +libubox +PACKAGE_libustream-mbedtls:libmbedtls		libustream-openssl libustream-wolfssl	
libuuid	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +librt			
libuv	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	1.48.0-r1	1.48.0-r1	package/feeds/packages/libuv/Makefile	+libc +libpthread +librt			
libwebsockets-full	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	4.3.3-r1	4.3.3-r1	package/feeds/packages/libwebsockets/Makefile	+libc +zlib +libcap +libubox +libopenssl +libuv	libwebsockets libwebsockets-openssl		libubox
libwolfssl	m	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	5.7.6-r1	5.9.1-r1	package/libs/wolfssl/Makefile	+libc +WOLFSSL_HAS_DEVCRYPTO:kmod-cryptodev +WOLFSSL_HAS_AFALG:kmod-crypto-user	libcyassl	libwolfsslcpu-crypto	libtool
libwrap	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	7.6-r4	7.6-r4	package/feeds/packages/tcp_wrappers/Makefile	+libc 			
libxml2	m	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	2.14.5-r2	2.13.6-r1	package/libs/libxml2/Makefile	+libc +libpthread +zlib +BUILD_NLS:libiconv-full			
libxtables	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.8.10-r1	1.8.10-r1	package/network/utils/iptables/Makefile	+libc +IPTABLES_CONNLABEL:libnetfilter-conntrack			
libzstd	y	n	dependency	用目标构建系统重算依赖；Python/Perl 功能模块可按需补全	1.5.7-r1	1.5.7-r1	package/feeds/packages/zstd/Makefile	+libc 			
lm-sensors	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	3.6.0-r1	3.6.0-r1	package/feeds/packages/lm-sensors/Makefile	+libc +sysfsutils +libsensors			
logd	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.04.26~85f1053019caf4cd333795760950235ee4529ba7-r1	2024.04.26~85f1053019caf4cd333795760950235ee4529ba7-r1	package/system/ubox/Makefile	+libc +libubox +libubus +libblobmsg-json +libudebug			
losetup	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libsmartcols			
lsblk	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libblkid +libmount +libsmartcols +libncurses			
lscpu	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libsmartcols			
lua	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	5.1.5-r11	5.1.5-r11	package/utils/lua/Makefile	+libc +liblua			
lua-cjson	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.1.0-r5	2.1.0-r5	package/feeds/packages/lua-cjson/Makefile	+libc +liblua			
luci	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	x	x	package/feeds/luci/luci/Makefile	+libc +luci-light +luci-app-package-manager			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-acme	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-acme/Makefile	+libc +luci-base +acme			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-adguardhome	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.1.1-r1	1.1.1-r1	package/luci-app-adguardhome/luci-app-adguardhome/Makefile	+libc +ca-certs +!wget&&!curl&&!wget-ssl:curl +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-advancedplus	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.8.9-r20260106	1.8.9-r20260106	package/luci-app-advancedplus/Makefile	+libc +luci-compat +curl +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-arpbind	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-arpbind/Makefile	+libc +ip			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-banip	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-banip/Makefile	+libc +luci-base +banip			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-cifs-mount	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-cifs-mount/Makefile	+libc +kmod-fs-cifs	luci-app-cifs		lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-cloudflared	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.2-r1	1.2-r1	package/feeds/luci/luci-app-cloudflared/Makefile	+libc +cloudflared			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-cpulimit	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-cpulimit/Makefile	+libc +cpulimit +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-ddns-go	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-ddns-go/Makefile	+libc +ddns-go			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-diskman	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.2.13-r1	0.2.13-r1	package/feeds/luci/luci-app-diskman/Makefile	+libc +luci-compat +blkid +e2fsprogs +parted +smartmontools +dosfstools +kmod-fs-msdos +kmod-fs-ntfs3 +kmod-fs-exfat +exfat-mkfs +exfat-fsck +kmod-nls-cp932 +kmod-nls-cp936 +kmod-nls-cp950 +PACKAGE_luci-app-diskman_INCLUDE_btrfs_progs:btrfs-progs +PACKAGE_luci-app-diskman_INCLUDE_lsblk:lsblk +PACKAGE_luci-app-diskman_INCLUDE_mdadm:mdadm +PACKAGE_luci-app-diskman_INCLUDE_kmod_md_raid456:mdadm +PACKAGE_luci-app-diskman_INCLUDE_kmod_md_raid456:kmod-md-raid456 +PACKAGE_luci-app-diskman_INCLUDE_kmod_md_linears:mdadm +PACKAGE_luci-app-diskman_INCLUDE_kmod_md_linears:kmod-md-linear +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-filemanager	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-filemanager/Makefile	+libc +luci-base			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-firewall	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	x	x	package/feeds/luci/luci-app-firewall/Makefile	+libc +luci-base +uci-firewall			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-frpc	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-frpc/Makefile	+libc +luci-base +frpc			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-modem	y	n	modem-review	保留 ModemManager 单一拨号管理；诊断工具可按需保留	1.4.4-r1	1.4.4-r1	package/luci-app-modem/Makefile	+libc +luci-compat +usbutils +pciutils +quectel-CM-5G +sms-tool +jq +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-natmap	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-natmap/Makefile	+libc +luci-base +natmap			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-netdata	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-netdata/Makefile	+libc +netdata			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-nfs	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.1-r1	1.1-r1	package/feeds/luci/luci-app-nfs/Makefile	+libc +nfs-utils +nfs-kernel-server +nfs-kernel-server-utils +mount-utils +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-nikki	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.26.1-r1	1.26.1-r1	package/luci-app-nikki/luci-app-nikki/Makefile	+libc +luci-base +nikki			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-nps	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.1-r4	1.1-r4	package/feeds/luci/luci-app-nps/Makefile	+libc +wget-ssl +npc +luci-lua-runtime			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-omcproxy	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.1.0-r1	0.1.0-r1	package/feeds/luci/luci-app-omcproxy/Makefile	+libc +luci-base +omcproxy			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
luci-app-p910nd	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	x	x	package/feeds/luci/luci-app-p910nd/Makefile	+libc +luci-base +p910nd			lua/host luci-base/host LUCI_CSSTIDY:csstidy/host LUCI_SRCDIET:luasrcdiet/host 
